date,open,high,low,close,volume,labels
2021-08-26,115.68,117.94,114.5,116.06,26115670,0
2021-08-27,115.68,116.78,114.14,116.74,23153721,0
2021-08-31,115.4,116.24,113.38,114.86,45427809,0
2021-09-01,115.76,117.06,114.62,114.94,31972439,0
2021-09-02,114.9,115.542,113.44,114.24,26275420,0
2021-09-03,113.92,114.38,111.6513,111.7,20848869,0
2021-09-06,112.58,113.98,112.04,112.04,13227170,0
2021-09-07,112.54,113.46,109.2,110.88,18397650,0
2021-09-08,110.88,113.64,109.86,111.26,20066779,0
2021-09-09,110.0,111.88,108.1515,111.02,23476570,0
2021-09-10,111.06,111.66,108.64,109.18,19281199,0
2021-09-13,109.74,112.14,109.2,111.94,35903000,0
2021-09-14,111.06,111.3,109.0737,109.16,22788270,0
2021-09-15,109.0,109.36,104.94,105.5,57219539,1
2021-09-16,106.36,110.36,106.1,109.06,50087449,0
2021-09-17,109.92,112.94,109.4285,111.0,172599812,0
2021-09-20,109.1,117.3,100.16,115.7,71596367,0
2021-09-21,116.14,120.44,115.74,119.58,64109809,0
2021-09-22,119.9,122.18,119.281,122.18,44820141,0
2021-09-23,123.3,127.38,122.68,126.94,64345820,0
2021-09-24,127.0,134.22,126.7513,132.5,78220969,0
2021-09-27,135.98,148.4489,135.74,147.48,145272188,0
2021-09-28,147.66,148.0,138.14,142.66,85407273,0
2021-09-29,141.0,145.68,138.253,144.6,50306527,0
2021-09-30,141.48,145.24,138.1,140.14,52496281,0
2021-10-01,137.44,144.08,135.6659,142.88,47965320,0
2021-10-04,144.0,145.68,141.1,142.14,35949820,0
2021-10-05,143.0,144.46,141.4,144.04,32333789,0
2021-10-06,143.56,144.0,137.56,140.5,46016422,0
2021-10-07,143.56,143.74,140.38,141.22,28173070,0
2021-10-08,141.44,144.24,141.38,143.7,27997320,0
2021-10-11,142.48,145.48,141.06,145.48,25187480,0
2021-10-12,144.2,144.433,141.66,143.9,49212461,0
2021-10-13,143.48,144.42,141.06,143.32,21466400,0
2021-10-14,143.98,145.24,141.62,143.44,29669881,0
2021-10-15,143.48,145.44,143.04,144.56,26744850,0
2021-10-18,143.1,143.9967,141.5,142.64,28173680,0
2021-10-19,142.84,143.06,138.56,139.44,51320488,0
2021-10-20,139.96,139.96,132.76,138.28,39260848,0
2021-10-21,137.78,139.34,135.36,138.0,20997449,0
2021-10-22,138.0,139.12,135.06,135.1,22365330,0
2021-10-25,135.62,136.34,131.24,132.54,31818830,0
2021-10-26,132.54,137.5,131.4,134.96,23333971,0
2021-10-27,134.04,135.4,133.5,133.92,18310881,0
2021-10-28,133.0,136.26,131.12,132.02,21605840,0
2021-10-29,132.08,134.0,131.2734,131.84,23526141,1
2021-11-01,132.92,135.0,132.0,133.42,17559369,1
2021-11-02,133.08,134.413,131.968,132.9,14304680,1
2021-11-03,132.48,133.28,131.5,132.6,15275670,0
2021-11-04,133.28,137.74,133.0,135.08,19218740,0
2021-11-05,135.1,143.94,132.8,142.94,51747230,0
2021-11-08,143.34,144.2,140.48,141.76,28273301,0
